Before: complete: 1496.36 fps, 0.00067 seconds
Main: complete: 263.83 fps, 0.00379 seconds
After: complete: 2268.42 fps, 0.00044 seconds
Before: complete: 1312.77 fps, 0.00076 seconds
Main: complete: 148.53 fps, 0.00673 seconds
After: complete: 2114.06 fps, 0.00047 seconds
Before: complete: 1512.01 fps, 0.00066 seconds
Main: complete: 244.45 fps, 0.00409 seconds
After: complete: 2201.73 fps, 0.00045 seconds
Before: complete: 1540.32 fps, 0.00065 seconds
Main: complete: 255.28 fps, 0.00392 seconds
After: complete: 2141.04 fps, 0.00047 seconds
Before: complete: 1501.18 fps, 0.00067 seconds
Main: complete: 224.98 fps, 0.00444 seconds
After: complete: 2147.62 fps, 0.00047 seconds
Before: complete: 1504.41 fps, 0.00066 seconds
Main: complete: 258.33 fps, 0.00387 seconds
After: complete: 2128.01 fps, 0.00047 seconds
Before: complete: 1481.56 fps, 0.00067 seconds
Main: complete: 199.79 fps, 0.00501 seconds
After: complete: 1935.53 fps, 0.00052 seconds
Before: complete: 1435.42 fps, 0.00070 seconds
Main: complete: 211.84 fps, 0.00472 seconds
After: complete: 2177.73 fps, 0.00046 seconds
Before: complete: 1538.63 fps, 0.00065 seconds
Main: complete: 258.97 fps, 0.00386 seconds
After: complete: 2145.42 fps, 0.00047 seconds
Before: complete: 1488.40 fps, 0.00067 seconds
Main: complete: 205.44 fps, 0.00487 seconds
After: complete: 2133.42 fps, 0.00047 seconds
Before: complete: 1458.89 fps, 0.00069 seconds
Main: complete: 246.12 fps, 0.00406 seconds
After: complete: 2155.35 fps, 0.00046 seconds
Before: complete: 1537.50 fps, 0.00065 seconds
Main: complete: 193.65 fps, 0.00516 seconds
After: complete: 2084.64 fps, 0.00048 seconds
Before: complete: 1459.40 fps, 0.00069 seconds
Main: complete: 226.12 fps, 0.00442 seconds
After: complete: 2090.88 fps, 0.00048 seconds
Before: complete: 1409.38 fps, 0.00071 seconds
Main: complete: 233.28 fps, 0.00429 seconds
After: complete: 2250.16 fps, 0.00044 seconds
Before: complete: 1577.40 fps, 0.00063 seconds
Main: complete: 256.93 fps, 0.00389 seconds
After: complete: 2267.19 fps, 0.00044 seconds
Before: complete: 1488.40 fps, 0.00067 seconds
Main: complete: 225.80 fps, 0.00443 seconds
After: complete: 2264.74 fps, 0.00044 seconds
Before: complete: 1567.38 fps, 0.00064 seconds
Main: complete: 254.32 fps, 0.00393 seconds
After: complete: 2269.65 fps, 0.00044 seconds
Before: complete: 1577.40 fps, 0.00063 seconds
Main: complete: 171.27 fps, 0.00584 seconds
After: complete: 2120.48 fps, 0.00047 seconds
Before: complete: 1506.03 fps, 0.00066 seconds
Main: complete: 233.22 fps, 0.00429 seconds
After: complete: 2319.86 fps, 0.00043 seconds
Before: complete: 1549.43 fps, 0.00065 seconds
Main: complete: 235.15 fps, 0.00425 seconds
After: complete: 2334.06 fps, 0.00043 seconds
Before: complete: 1610.10 fps, 0.00062 seconds
Main: complete: 274.78 fps, 0.00364 seconds
After: complete: 2274.57 fps, 0.00044 seconds
Before: complete: 1582.76 fps, 0.00063 seconds
Main: complete: 231.24 fps, 0.00432 seconds
After: complete: 2248.96 fps, 0.00044 seconds
Before: complete: 1573.26 fps, 0.00064 seconds
Main: complete: 201.61 fps, 0.00496 seconds
After: complete: 2156.45 fps, 0.00046 seconds
Before: complete: 1527.42 fps, 0.00065 seconds
Main: complete: 232.60 fps, 0.00430 seconds
After: complete: 2239.35 fps, 0.00045 seconds
Before: complete: 1614.44 fps, 0.00062 seconds
Main: complete: 258.11 fps, 0.00387 seconds
After: complete: 2325.00 fps, 0.00043 seconds
Before: complete: 1635.21 fps, 0.00061 seconds
Main: complete: 211.27 fps, 0.00473 seconds
After: complete: 2240.55 fps, 0.00045 seconds
Before: complete: 1566.21 fps, 0.00064 seconds
Main: complete: 249.96 fps, 0.00400 seconds
After: complete: 2332.76 fps, 0.00043 seconds
