Before: complete: 9686.61 fps, 0.00010 seconds
Main: complete: 242.81 fps, 0.00412 seconds
After: complete: 5555.37 fps, 0.00018 seconds
Before: complete: 8160.12 fps, 0.00012 seconds
Main: complete: 322.24 fps, 0.00310 seconds
After: complete: 6150.01 fps, 0.00016 seconds
Before: complete: 8811.56 fps, 0.00011 seconds
Main: complete: 317.17 fps, 0.00315 seconds
After: complete: 6195.43 fps, 0.00016 seconds
Before: complete: 11096.04 fps, 0.00009 seconds
Main: complete: 467.64 fps, 0.00214 seconds
After: complete: 6432.98 fps, 0.00016 seconds
Before: complete: 10538.45 fps, 0.00009 seconds
Main: complete: 460.00 fps, 0.00217 seconds
After: complete: 6260.16 fps, 0.00016 seconds
Before: complete: 10058.28 fps, 0.00010 seconds
Main: complete: 313.22 fps, 0.00319 seconds
After: complete: 6213.78 fps, 0.00016 seconds
Before: complete: 9532.51 fps, 0.00010 seconds
Main: complete: 355.21 fps, 0.00282 seconds
After: complete: 5890.88 fps, 0.00017 seconds
Before: complete: 9157.87 fps, 0.00011 seconds
Main: complete: 330.83 fps, 0.00302 seconds
After: complete: 6000.43 fps, 0.00017 seconds
Before: complete: 8848.74 fps, 0.00011 seconds
Main: complete: 309.18 fps, 0.00323 seconds
After: complete: 5991.86 fps, 0.00017 seconds
Before: complete: 8594.89 fps, 0.00012 seconds
Main: complete: 235.30 fps, 0.00425 seconds
After: complete: 5570.12 fps, 0.00018 seconds
Before: complete: 9845.78 fps, 0.00010 seconds
Main: complete: 460.31 fps, 0.00217 seconds
After: complete: 6374.32 fps, 0.00016 seconds
Before: complete: 10407.70 fps, 0.00010 seconds
Main: complete: 445.68 fps, 0.00224 seconds
After: complete: 6232.25 fps, 0.00016 seconds
Before: complete: 9939.11 fps, 0.00010 seconds
Main: complete: 420.65 fps, 0.00238 seconds
After: complete: 6241.52 fps, 0.00016 seconds
Before: complete: 9731.56 fps, 0.00010 seconds
Main: complete: 353.12 fps, 0.00283 seconds
After: complete: 6223.00 fps, 0.00016 seconds
Before: complete: 9489.38 fps, 0.00011 seconds
Main: complete: 339.43 fps, 0.00295 seconds
After: complete: 6009.03 fps, 0.00017 seconds
Before: complete: 8830.11 fps, 0.00011 seconds
Main: complete: 338.55 fps, 0.00295 seconds
After: complete: 6052.39 fps, 0.00017 seconds
Before: complete: 8630.26 fps, 0.00012 seconds
Main: complete: 308.56 fps, 0.00324 seconds
After: complete: 6307.22 fps, 0.00016 seconds
Before: complete: 10699.76 fps, 0.00009 seconds
Main: complete: 411.97 fps, 0.00243 seconds
After: complete: 6403.52 fps, 0.00016 seconds
